"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Tsu"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Houses Damaged"
"[""Region = 160 - South America"",""Country = CHILE""]"																		
	1877	5	10	0	59	1075	"CHILE"	"CHILE:  OFF NORTH COAST"	-21.5	-70.5	40	8.3	103			1.6		
	1877	5	15			1079	"CHILE"	"CHILE:  NORTHERN:  HUANILLOS"	-21.2	-70.1								
	1877	6	15			1080	"CHILE"	"CHILE:  NORTHERN"	-19.6	-70.2								
	1877	8	23			1081	"CHILE"	"CHILE:  IQUIQUE"	-20.2	-70.1								
	1877	10	9			1083	"CHILE"	"CHILE"	-24	-71								
	1878	1	23	12	5	1090	"CHILE"	"CHILE:  TARAPACA"	-19.92	-70.335	40	7.9						
	1878	2	14			1097	"CHILE"	"CHILE:  CENTRAL"	-36.8	-73								
	1878	3	12			1099	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1878	4	12			1100	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1878	6	12			1105	"CHILE"	"CHILE:  NORTHERN"	-23.7	-70.4								
	1880	8	15	12	48	1118	"CHILE"	"CHILE:  ILLAPEL"	-31.62	-71.18		7.7	2				600	
	1881	7	14			1123	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1881	10	27			1126	"CHILE"	"CHILE:  NORTHERN"	-19.6	-70.2								
	1882	2	23			1131	"CHILE"	"CHILE:  NORTHERN"	-33.58	-71.63								
	1882	9	14			1134	"CHILE"	"CHILE:  PISAGUA"	-19.6	-70.2								
	1885	11	12			1156	"CHILE"	"CHILE:  IQUIQUE"	-20.2	-70.1								
	1892	3	27			5615	"CHILE"	"CHILE:  ARICA"	-18.5	-70.35								
	1895	5	31			5628	"CHILE"	"CHILE:  NORTHERN"	-18	-71								
	1896	3	13				"CHILE"	"CHILE:  LIMACHE, ALMENDRAL"	-33	-71								
	1898	7	23	2	17	1250	"CHILE"	"CHILE:  CONCEPCION"	-36.83	-73.03		6.5	6					
	1903	9	26			1299	"CHILE"	"CHILE:  IQUIQUE"	-20.2	-70.15								
	1903	12	7	14	25	1307	"CHILE"	"CHILE:  VALLENAR, FREIRINA"	-28.5	-71		6.5						
	1906	5	7			1334	"CHILE"	"CHILE:  ARICA; PERU: TACNA"	-18.5	-70.3	33							
	1906	8	17	0	40	1339	"CHILE"	"CHILE:  SOUTH CENTRAL"	-33	-72	25	8.2	4000			100		
	1909	6	8	5	46	1379	"CHILE"	"CHILE"	-26.5	-70.5		7.6						
	1911	9	15	13	10	1398	"CHILE"	"CHILE:  NORTHERN"	-20	-72		7.3						
	1914	1	30	3	35		"CHILE"	"CHILE:  OFF CENTRAL COAST"	-35	-73	33	7.6						
	1918	5	20	17	55	1453	"CHILE"	"CHILE:  NORTHERN"	-28.5	-71.5	80	7.9						
	1918	12	4	11	47	1461	"CHILE"	"CHILE:  COPIAPO"	-26	-71		7.8						
	1920	8	20	16	15	1485	"CHILE"	"CHILE:  OFF COAST CENTRAL"	-38	-73.5	15	7						
	1922	11	7	23	0	1504	"CHILE"	"CHILE:  NORTHERN"	-28	-72	33							
	1922	11	11	4	32	1505	"CHILE"	"CHILE:  ATACAMA"	-28.293	-69.852	70	8.5	500					
	1923	5	4	22	26	1518	"CHILE"	"CHILE:  VALLENAR"	-28.75	-71.75	60	7						
	1923	8	12	12	11	1524	"CHILE"	"CHILE:  NORTHERN"	-18.5	-70.3	33							
	1925	5	15	11	56	1555	"CHILE"	"CHILE:  NORTHERN"	-26	-71.5	50	7.1						
	1926	12	9	22	38	1573	"CHILE"	"CHILE:  VALLENAR"	-28	-71	33	6						
	1927	11	21	23	12	1586	"CHILE"	"CHILE:  SOUTHERN"	-44.6	-73	33	7.1						
	1928	11	20	20	35	1608	"CHILE"	"CHILE:  NORTHERN"	-22.5	-70.5	33	7.1						
	1928	12	1	4	6	1609	"CHILE"	"CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO"	-35	-72	25	7.6	279					
	1929	10	19	10	12		"CHILE"	"CHILE"	-23	-69	100	7.5						
	1930	12	29	8	26	1634	"CHILE"	"CHILE:  NORTHERN"	-28.5	-71		6						
	1931	3	18	8	2	1640	"CHILE"	"CHILE:  CENTRAL"	-32.5	-72	33	7.1						
	1933	2	23	8	9	1659	"CHILE"	"CHILE"	-20	-71	40	7.6						
	1933	11	3	4	14		"CHILE"	"CHILE"	-22	-70.5	70	5.5						
	1934	12	4	17	24	1676	"CHILE"	"CHILE:  IQUIQUE, PISAGUA, SAPIGA, NEGRERO"	-19.5	-69.5	130	6.9						
	1936	7	13	11	12	1691	"CHILE"	"CHILE:  TALTAL"	-24.5	-70	60	7.3	1		40			
	1939	1	25	3	32	1729	"CHILE"	"CHILE:  CHILLAN"	-36.25	-72.25	60	8.3	30000			920		
	1939	4	18	6	22	1732	"CHILE"	"CHILE:  NORTH CENTRAL"	-27	-70.5	100	7.4						
	1940	10	4	7	54	1742	"CHILE"	"CHILE:  NORTHERN"	-22	-71	75	7.3						
	1940	10	11	18	41	1743	"CHILE"	"CHILE:  SOUTH CENTRAL"	-41.5	-74.5	33	7						
	1943	4	6	16	7	1752	"CHILE"	"CHILE:  ILLAPEL"	-30.75	-72	35	8.2	11					
	1946	8	2	19	18	1764	"CHILE"	"CHILE:  NORTHERN"	-26.5	-70.5	60	7.9	2					
	1948	12	26	7	12	1786	"CHILE"	"CHILE:  ANTOFAGASTA"	-22.5	-69	100	7						
	1949	4	20	3	29	1792	"CHILE"	"CHILE:  ANGOL, TRAIGUEN"	-38	-73.5	70	7.3	57					
	1949	12	17	6	53	5202	"CHILE"	"CHILE:  TIERRA DEL FUEGO"	-54	-71	33	7.8	1					
	1949	12	17	15	7	1801	"CHILE"	"CHILE:  TIERRA DEL FUEGO"	-54	-71	33	7.8	3					
	1950	1	30	0	56	1803	"CHILE"	"CHILE:  SOUTHERN"	-53.5	-71.5	33	7						
	1950	12	9	21	38		"CHILE"	"CHILE-ARGENTINA"	-23.5	-67.5	100	8	1					
	1953	5	6	17	16	1836	"CHILE"	"CHILE:  CHILLAN, CONCEPCION"	-36.5	-72.5	60	7.6	9		26	500		
	1953	12	7	2	5		"CHILE"	"CHILE:  NORTHERN"	-22.1	-68.7	128	7.4	3			7.31		
	1955	4	19	20	24	1849	"CHILE"	"CHILE"	-30	-72	30	7.1						
	1956	1	8	20	54	1854	"CHILE"	"CHILE"	-19	-70		7.1						
	1956	12	18	2	31	1865	"CHILE"	"CHILE:  ANTOFAGASTA"	-25.5	-71	33							
	1957	7	29	17	15	1871	"CHILE"	"CHILE:  ANTOFAGASTA"	-23.5	-71.5	33	7						
	1958	9	4	21	51		"CHILE"	"CHILE-ARGENTINA"	-33.785	-70.112		6.8	7					
	1960	5	21	10	2	1901	"CHILE"	"CHILE:  CENTRAL"	-37.872	-73.243	35	8.2						
	1960	5	22	19	11	1902	"CHILE"	"CHILE:  PUERTO MONTT, VALDIVIA"	-38.143	-73.407	33	9.5	2000		3000	1000	58622	
	1960	11	1	8	45	1906	"CHILE"	"CHILE:  CONCEPCION"	-38.5	-75.1	55	7.4						
	1961	10	18	16	51	1926	"CHILE"	"CHILE:  VALDIVIA, CURICO"	-36.7	-73	15	6.5						
	1962	2	14	6	36		"CHILE"	"CHILE:  CENTRAL"	-37.8	-72.5	45	7.3						
	1965	2	23	22	11	1965	"CHILE"	"CHILE:  NORTHERN"	-25.67	-70.63	36	7						
	1965	3	22	22	56	1966	"CHILE"	"CHILE:  CENTRAL"	-31.81	-71.26	58	6						
	1965	3	28	16	33		"CHILE"	"CHILE:  CENTRAL"	-32.4	-71.2	61	7.3	400			125		
	1965	10	3	16	14	1979	"CHILE"	"CHILE:  SOUTHERN"	-42.9	-75.13	28	6.5						
	1966	12	28	8	18	1984	"CHILE"	"CHILE:  TALTAL, CATALINA"	-25.5	-70.7	47	7.8	3		6	0.4		
	1967	11	15	21	32	1991	"CHILE"	"CHILE:  NORTHERN"	-28.78	-71.19	35	5.9						
	1967	12	21	2	25	1994	"CHILE"	"CHILE:  NORTHERN"	-21.7	-69.5	33	7.5	1					
	1970	6	14			2022	"CHILE"	"CHILE:  SOUTHERN"	-52	-73.8	10	6						
	1970	6	19	10	56	2023	"CHILE"	"CHILE:  NORTHERN"	-22.28	-70.55	44	6.4						
	1970	11	28	11	8	2030	"CHILE"	"CHILE:  NORTHERN"	-20.94	-69.81	33	6						
	1971	6	17	21			"CHILE"	"CHILE:  CATALINA, ANTOFAGASTA"	-25.5	-69.2	93	6.3	1					
	1971	7	9	3	3	2033	"CHILE"	"CHILE:  CENTRAL"	-32.5	-71.2	58	7.8	83		447	236.4		
	1972	6	8	18	53	2048	"CHILE"	"CHILE:  CENTRAL"	-30.5	-71.8	39	6.6						
	1972	12	29	4	51	2057	"CHILE"	"CHILE:  CENTRAL"	-30.6	-71	60	5.4						
	1973	10	5	5	47	2062	"CHILE"	"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO"	-32.5	-71.5	14	6.7						
	1974	8	18	10	44	2066	"CHILE"	"CHILE:  LA UNION, VALDIVIA"	-38.5	-73.4	36	7.1						
	1975	3	13	15	26	2074	"CHILE"	"CHILE:  COQUIMBO, LA SERENA"	-29.9	-71.3	4	6.9	2		25			
	1975	5	10	14	27		"CHILE"	"CHILE:  CENTRAL"	-38.18	-73.23	6	7.7						
	1976	11	30	0	40		"CHILE"	"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA"	-20.52	-68.92	82	7.3	1		13			
	1978	8	3	18	11		"CHILE"	"CHILE:  NORTHERN:  COPIAPO-TALTAI"	-26.51	-70.54	58	7			13			
	1981	10	16	3	25		"CHILE"	"CHILE:  OFF CENTRAL COAST, LAS CRUCES"	-33.134	-73.074	33	7.5	1					
	1983	10	4	18	52	2149	"CHILE"	"CHILE:  NORTHERN:  COPOAPO-CHANARAL"	-26.535	-70.563	15	7.3	5		12	1	40	
	1985	3	3	22	47	2158	"CHILE"	"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO"	-33.132	-71.708	40	8	180		2575	1500		
	1985	3	17	10	41		"CHILE"	"CHILE:  VALPARAISO, VINA DEL MAR"	-32.663	-71.551	33	6.6	1					
	1985	4	9	1	56		"CHILE"	"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO"	-34.131	-71.618	38	7.5	2					
	1986	12	19	5	47		"CHILE"	"CHILE:  CENTRAL, VALPARAISO"	-33.071	-72.084	33	5					16	
	1987	3	5	9	17	2169	"CHILE"	"CHILE:  ANTOFAGASTA, ARICA"	-24.388	-70.161	62	7.3	1					
	1987	8	8	15	48		"CHILE"	"CHILE:  ARICA, IQUIQUE"	-19.022	-69.991	70	6.9	5		112	1	1000	
	1988	2	5	14	1	2180	"CHILE"	"CHILE:  TALTAL"	-24.753	-70.433	37	6.7						
	1995	7	30	5	11	2249	"CHILE"	"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES"	-23.34	-70.294	46	8	3		58	1.66	115	
